,class,sms
0,ham,"go jurong point , crazy .. available bugis n great world la e buffet ... cine got amore wat ..."
1,ham,ok lar ... joking wif u oni ...
2,spam,free entry 2 wkly comp win fa cup final tkts 21st may 2005 . text fa 87121 receive entry question ( std txt rate ) tandc 's apply 08452810075over18 's
3,ham,u dun say early hor ... u c already say ...
4,ham,"nah n't think go usf , life around though"
5,spam,"freemsg hey darling 's 3 week 's word back ! 'd like fun still ? tb ok ! xxx std chgs send , £1.50 rcv"
6,ham,even brother like speak . treat like aid patent .
7,ham,per request 'Melle melle ( oru minnaminunginte nurungu vettam ) ' ha set callertune caller . press * 9 copy friend callertune
8,spam,winner ! ! valued network customer selected receivea £900 prize reward ! claim call 09061701461 . claim code kl341 . valid 12 hour .
9,spam,mobile 11 month ? u r entitled update latest colour mobile camera free ! call mobile update co free 08002986030
10,ham,"'m gon na home soon n't want talk stuff anymore tonight , k ? 've cried enough today ."
11,spam,"six chance win cash ! 100 20,000 pound txt > csh11 send 87575 . cost 150p/day , 6days , 16+ tsandcs apply reply hl 4 info"
12,spam,"urgent ! 1 week free membership £100,000 prize jackpot ! txt word : claim : 81010 tandc url lccltd pobox 4403ldnw1a7rw18"
13,ham,'ve searching right word thank breather . promise wont take help granted fulfil promise . wonderful blessing time .
14,ham,date sunday ! !
15,spam,"xxxmobilemovieclub : use credit , click wap link next txt message click > > http : //wap . url ? n=QJKGIGHJJGCBL"
16,ham,oh k ... 'm watching hereemoticon
17,ham,eh u remember 2 spell name ... yes . v naughty make v wet .
18,ham,fine thats way u feel . thats way gota b
19,spam,"england v macedonia - dont miss goals/team news . txt ur national team 87077 eg england 87077 try : wale , scotland 4txt/u1.20 poboxox36504w45wq 16+"
20,ham,seriously spell name ?
21,ham,'m going try 2 month ha ha joking
22,ham,u pay first lar ... da stock comin ...
23,ham,aft finish lunch go str lor . ard 3 smth lor . u finish ur lunch already ?
24,ham,ffffffffff . alright way meet sooner ?
25,ham,forced eat slice . 'm really hungry tho . suck . mark getting worried . know 'm sick turn pizza . lol
26,ham,lol always convincing .
27,ham,catch bus ? frying egg ? make tea ? eating mom 's left dinner ? feel love ?
28,ham,"'m back 're packing car , 'll let know 's room"
29,ham,ahhh . work . vaguely remember ! doe feel like ? lol
30,ham,"wait 's still clear , sure sarcastic 's x doe n't want live u"
31,ham,yeah got 2 wa v apologetic . n fallen wa actin like spoilt child got caught . till 2 ! wo n't go ! badly cheer . ?
32,ham,k tell anything .
33,ham,fear fainting housework ? quick cuppa
34,spam,thanks subscription ringtone uk mobile charged £5/month please confirm replying yes . reply charged
35,ham,yup ... ok go home look timing msg u ... xuhui going learn 2nd may lesson 8am
36,ham,"oops , 'll let know roommate 's done"
37,ham,see letter b car
38,ham,anything lor ... u decide ...
39,ham,hello ! 's saturday go ? wa texting see 'd decided anything tomo . 'm trying invite anything !
40,ham,pls go ahead watt . wanted sure . great weekend . abiola
41,ham,"forget tell ? want , need , crave ... ... love sweet arabian steed ... mmmmmm ... yummy"
42,spam,07732584351 - rodger burn - msg = tried call reply sm free nokia mobile + free camcorder . please call 08000930705 delivery tomorrow
43,ham,seeing ?
44,ham,great ! hope like man well endowed . number inch ...
45,ham,call .. message .. missed call
46,ham,n't get hep b immunisation nigeria .
47,ham,"fair enough , anything going ?"
48,ham,"yeah hopefully , tyler ca n't could maybe ask around bit"
49,ham,u n't know stubborn . n't even want go hospital . kept telling mark 'm weak sucker . hospital weak sucker .
50,ham,thinked . first time saw class .
51,ham,"gram usually run like number , half eighth smarter though get almost whole second gram number"
52,ham,k fyi x ha ride early tomorrow morning 's crashing place tonight
53,ham,"wow . never realized embarassed accomodations . thought liked , since wa best could always seemed happy `` cave '' . 'm sorry n't n't give . 'm sorry offered . 'm sorry room wa embarassing ."
54,spam,sm . ac sptv : new jersey devil detroit red wing play ice hockey . correct incorrect ? end ? reply end sptv
55,ham,know mallika sherawat yesterday ? find @ url
56,spam,"congrats ! 1 year special cinema pas 2 . call 09061209465 ! c suprman v , matrix3 , starwars3 , etc 4 free ! bx420-ip4-5we . 150pm . dont miss !"
57,ham,"sorry , 'll call later meeting ."
58,ham,tell reached
59,ham,yes .. gauti sehwag odi series .
60,ham,gon na pick $ 1 burger way home . ca n't even move . pain killing .
61,ham,ha ha ha good joke . girl situation seeker .
62,ham,part checking iq
63,ham,"sorry roommate took forever , ok come ?"
64,ham,ok lar double check wif da hair dresser already said wun cut v short . said cut look nice .
